NAME,B01003_001E,state,county,tract,GEOID,population
Census Tract 323.15; King County; Washington,5407,53,033,032315,53033032315,5407
Census Tract 323.16; King County; Washington,5716,53,033,032316,53033032316,5716
Census Tract 323.17; King County; Washington,7012,53,033,032317,53033032317,7012
Census Tract 323.18; King County; Washington,7093,53,033,032318,53033032318,7093
Census Tract 323.19; King County; Washington,6673,53,033,032319,53033032319,6673
Census Tract 323.20; King County; Washington,5093,53,033,032320,53033032320,5093
Census Tract 323.21; King County; Washington,7323,53,033,032321,53033032321,7323
Census Tract 323.22; King County; Washington,3046,53,033,032322,53033032322,3046
Census Tract 323.23; King County; Washington,6884,53,033,032323,53033032323,6884
Census Tract 323.24; King County; Washington,6592,53,033,032324,53033032324,6592
Census Tract 323.25; King County; Washington,6068,53,033,032325,53033032325,6068
Census Tract 323.26; King County; Washington,4045,53,033,032326,53033032326,4045
Census Tract 323.27; King County; Washington,4196,53,033,032327,53033032327,4196
Census Tract 323.28; King County; Washington,3305,53,033,032328,53033032328,3305
Census Tract 323.30; King County; Washington,5431,53,033,032330,53033032330,5431
Census Tract 323.31; King County; Washington,5558,53,033,032331,53033032331,5558
Census Tract 323.32; King County; Washington,6323,53,033,032332,53033032332,6323
Census Tract 323.33; King County; Washington,3240,53,033,032333,53033032333,3240
Census Tract 324.01; King County; Washington,5576,53,033,032401,53033032401,5576
Census Tract 324.02; King County; Washington,7302,53,033,032402,53033032402,7302
Census Tract 325; King County; Washington,5791,53,033,032500,53033032500,5791
Census Tract 326.01; King County; Washington,2740,53,033,032601,53033032601,2740
Census Tract 326.03; King County; Washington,4380,53,033,032603,53033032603,4380
Census Tract 326.04; King County; Washington,5617,53,033,032604,53033032604,5617
Census Tract 326.05; King County; Washington,4485,53,033,032605,53033032605,4485
Census Tract 327.03; King County; Washington,1941,53,033,032703,53033032703,1941
Census Tract 327.04; King County; Washington,7593,53,033,032704,53033032704,7593
Census Tract 327.05; King County; Washington,3635,53,033,032705,53033032705,3635
Census Tract 327.06; King County; Washington,2859,53,033,032706,53033032706,2859
Census Tract 328; King County; Washington,2633,53,033,032800,53033032800,2633
Census Tract 9901; King County; Washington,0,53,033,990100,53033990100,0
