station_id,station_name,lat,lon,population_within_radius,population_density_within_radius,city_average_population_density,residential_density_ratio
janpath,Janpath,28.6088598,77.2181649,0.0,0.0,7581.546434751025,0.0
jasola_apollo,Jasola Apollo,28.5384251,77.2830377,36498.045165419244,11617.68860253545,7581.546434751025,1.532363971192504
jasola_vihar_shaheen_bagh,Jasola Vihar Shaheen Bagh,28.5458279,77.2966578,18989.83579713062,6044.652471233522,7581.546434751025,0.7972848973828156
jawaharlal_nehru_stadium,Jawaharlal Nehru Stadium,28.58337705,77.23354040287734,40629.531225970626,12932.78146023948,7581.546434751025,1.7058236827463533
jhandewalan,Jhandewalan,28.6443188,77.1999165,61582.88378363699,19602.4407280391,7581.546434751025,2.5855464840508935
jhilmil,Jhilmil,28.6757033,77.31250457549734,78436.90124629508,24967.241108317416,7581.546434751025,3.2931594264036623
jor_bagh,Jor Bagh,28.58823925,77.21652774187173,6662.7081171355485,2120.8058624412347,7581.546434751025,0.27973262192528947
kailash_colony,Kailash Colony,28.5530522,77.2429694,37221.8485289783,11848.082368809379,7581.546434751025,1.5627527273990065
kalindi_kunj,Kalindi Kunj,28.5452187,77.3059891,7732.545459265596,2461.345665049819,7581.546434751025,0.3246495535222095
kalkaji_mandir,Kalkaji Mandir,28.5497752,77.2606671,47629.569917380155,15160.962979384178,7581.546434751025,1.9997190691719422
kanhaiya_nagar,Kanhaiya Nagar,28.6800635,77.1648445,124995.97922799642,39787.455921495006,7581.546434751025,5.247934080984312
karkarduma,Karkarduma,28.6491622,77.3062081096126,42294.24553218394,13462.676481578766,7581.546434751025,1.7757164184698258
karkarduma_court,Karkarduma Court,28.6536001,77.2957877,97204.28689438872,30941.08549792941,7581.546434751025,4.081104793621897
karol_bagh,Karol Bagh,28.6441866,77.189132,44787.2639404752,14256.228887376054,7581.546434751025,1.8803853554244203
kashmere_gate,Kashmere Gate,28.6517178,77.2219388,211576.81237835748,67346.99106728421,7581.546434751025,8.883015048036945
kaushambi,Kaushambi,28.6453286,77.3243485,7009.225160460674,2231.105663062799,7581.546434751025,0.2942810787039739
keshav_puram,Keshav Puram,28.6889264,77.1616833,91580.03990083783,29150.8320775427,7581.546434751025,3.8449717783071256
khan_market,Khan Market,28.6001354,77.22649064087364,0.0,0.0,7581.546434751025,0.0
kirti_nagar,Kirti Nagar†,28.6532807,77.1417729,50276.158331008875,16003.398236101675,7581.546434751025,2.1108356156400987
krishna_nagar,Krishna Nagar,28.6578461,77.2901853,129133.31723426636,41104.41151137466,7581.546434751025,5.421639485444174
kohat_enclave,Kohat Enclave,28.6980415,77.1405393,81309.43211668188,25881.596082729666,7581.546434751025,3.4137621269584173
lajpat_nagar,Lajpat Nagar,28.57060215,77.23653027838046,56020.26725525717,17831.804894006444,7581.546434751025,2.3520010129163094
lal_qila,Lal Qila,17.920861950000003,77.52850191193579,0.0,0.0,7581.546434751025,0.0
laxmi_nagar,Laxmi Nagar,28.63055515,77.2776331681994,140652.11663443505,44770.959237416275,7581.546434751025,5.905254241034868
lok_kalyan_marg,Lok Kalyan Marg,28.598385,77.2029964,10701.47558843551,3406.385476553522,7581.546434751025,0.4492995599077125
madipur,Madipur,28.6764752,77.1193599,81737.39511022723,26017.820934495958,7581.546434751025,3.4317300775524924
majlis_park,Majlis Park,28.7244312,77.181964,43042.084783992264,13700.721108705646,7581.546434751025,1.8071143171934647
major_mohit_sharma,Major Mohit Sharma,28.6776112,77.3581426,0.0,0.0,7581.546434751025,0.0
malviya_nagar,Malviya Nagar,28.5339201,77.2124474,56107.33015609611,17859.51787606332,7581.546434751025,2.3556563334100082
mandawali_west_vinod_nagar,Mandawali – West Vinod Nagar,28.6249712,77.3044906,97432.31068019132,31013.667723235434,7581.546434751025,4.090678331940324
mandi_house,Mandi House,28.6255556,77.234195,40006.779507751875,12734.55343169251,7581.546434751025,1.6796775619973772
mansarovar_park,Mansarovar Park,28.6757386,77.300102,110578.36368940506,35198.186360364336,7581.546434751025,4.642613042509214
maujpur_babarpur,Maujpur-Babarpur,28.69197845,77.27962396808854,168985.8580698336,53789.86924887894,7581.546434751025,7.094841364068672
mayapuri,Mayapuri,28.6371795,77.1297333,85440.88256271239,27196.677603979606,7581.546434751025,3.5872203432429064
mayur_vihar_i,Mayur Vihar -I,28.603133,77.2925892,20549.668256101926,6541.162563714461,7581.546434751025,0.8627741872993316
mayur_vihar_extension,Mayur Vihar Extension,28.59415815,77.29458935,5725.08553703744,1822.3513256868537,7581.546434751025,0.24036670372865676
mayur_vihar_pocket_i,Mayur Vihar Pocket I,28.6058619,77.2987023,45335.49543984109,14430.73639354158,7581.546434751025,1.9034027579645734
mewala_maharajpur,Mewala Maharajpur,28.4418747,77.3023001,0.0,0.0,7581.546434751025,0.0
mg_road,MG Road,28.4794579,77.0804652,0.0,0.0,7581.546434751025,0.0
model_town,Model Town,28.7027136,77.1939912,47950.89576187047,15263.244172371802,7581.546434751025,2.0132098779228857
mohan_estate,Mohan Estate,28.5195895,77.29458455034757,28641.82289293392,9116.975385146086,7581.546434751025,1.2025218685408585
mohan_nagar,Mohan Nagar,28.60631905,77.10608184860985,105811.66931358754,33680.90041612495,7581.546434751025,4.442484222182438
moolchand,Moolchand,28.5644043,77.2342783,52351.04365923141,16663.854748772606,7581.546434751025,2.1979493091794065
moti_nagar,Moti Nagar,28.657859,77.1424288,55935.08430645193,17804.69031926745,7581.546434751025,2.348424621876256
mundka,Mundka,28.6824341,77.0305741,0.0,0.0,7581.546434751025,0.0
mundka_industrial_area,Mundka Industrial Area,28.6834491,77.0171333,0.0,0.0,7581.546434751025,0.0
munirka,Munirka,28.554886,77.1710841,36116.011432940824,11496.083488631877,7581.546434751025,1.5163243525012327
najafgarh,Najafgarh,28.612304,76.9823908,62177.97705174435,19791.86479847909,7581.546434751025,2.6105313696636414
nangli,Nangli,28.6173003,77.0104375,6439.474235308788,2049.7483109245927,7581.546434751025,0.27036018687814123
nangloi,Nangloi,28.6824007,77.0647319,0.0,0.0,7581.546434751025,0.0
nangloi_railway_station,Nangloi Railway station,28.6822009,77.0562463,0.0,0.0,7581.546434751025,0.0
naraina_vihar,Naraina Vihar,28.6273375,77.1403175,100386.85187583475,31954.127394946012,7581.546434751025,4.2147242214965575
nawada,Nawada,28.6202758,77.0450787,126213.38772161231,40174.969080537056,7581.546434751025,5.299046761276795
neelam_chowk_ajronda,Neelam Chowk Ajronda,28.3974824,77.3123599,0.0,0.0,7581.546434751025,0.0
nehru_enclave,Nehru Enclave,28.5460584,77.2515057,52542.68146531677,16724.85495701615,7581.546434751025,2.2059951885746627
