station_id,station_name,lat,lon,activity_score,connectivity_score,activity_rank_pct,is_transfer_proxy,connectivity,population_within_radius,population_density_within_radius,city_average_population_density,residential_density_ratio
10th_ave_w_w_mcgraw_st,10th Ave W & W Mcgraw St,47.6395665,-122.370251,0.24584006809488382,0.026662924501824305,0.5426245210727969,0,286.0,10240.272107173527,3259.5798489254516,2841.0060694208155,1.1473329409641033
10th_ave_w_w_newell_st,10th Ave W & W Newell St,47.644455,-122.370087,0.22876558382330356,0.013284685190382636,0.49712643678160917,0,143.0,10657.090396395412,3392.2572311269923,2841.0060694208155,1.194033785298656
11th_ave_ne_ne_42nd_st,11th Ave NE & NE 42nd St,47.658745,-122.316551,0.5686758613521002,0.039386284965852746,0.889367816091954,0,422.0,24246.415217177197,7717.873668144604,2841.0060694208155,2.716598796185612
11th_ave_ne_ne_45th_st,11th Ave NE & NE 45th St,47.661945,-122.316452,0.6405919737570923,0.033305267097015624,0.914272030651341,0,357.0,27779.912362465217,8842.620742291983,2841.0060694208155,3.1124962517572845
11th_ave_ne_ne_50th_st,11th Ave NE & NE 50th St,47.665173,-122.316238,0.6061304302937917,0.019459257180278793,0.9032567049808429,0,209.0,27238.254893255777,8670.205814917326,2841.0060694208155,3.0518082689928523
11th_ave_ne_ne_55th_st,11th Ave NE & NE 55th St,47.668377,-122.316193,0.5465213218284081,0.019459257180278793,0.8754789272030651,0,209.0,24539.49063251092,7811.162470242748,2841.0060694208155,2.7494353336017965
11th_ave_ne_ne_ravenna_blvd,11th Ave NE & NE Ravenna Blvd,47.671329,-122.316101,0.46400090705104463,0.019459257180278793,0.8414750957854407,0,209.0,20803.431632193566,6621.937955075805,2841.0060694208155,2.3308425935273673
12th_jackson,12th & Jackson,47.599207,-122.315758,0.4166971587884756,0.03274394237066143,0.8117816091954023,0,351.0,17652.377588288677,5618.9263010014665,2841.0060694208155,1.9777945430954234
12th_ave_e_alder_st,12th Ave & E Alder St,47.60458,-122.316879,0.5422242025249563,0.0006548788474132286,0.8721264367816092,0,8.0,25648.377146206723,8164.132010208,2841.0060694208155,2.8736763705233437
12th_ave_e_terrace_st,12th Ave & E Terrace St,47.605041,-122.316689,0.5546294645507546,0.0007484329684722612,0.8802681992337165,0,9.0,26188.03399259217,8335.910119559256,2841.0060694208155,2.934140200995299
12th_ave_ne_ne_47th_st,12th Ave NE & NE 47th St,47.662281,-122.315475,0.6358125966964188,0.020207690148751054,0.9128352490421456,0,217.0,28353.101642619742,9025.07255681974,2841.0060694208155,3.176717098200232
12th_ave_ne_ne_61st_st,12th Ave NE & NE 61st St,47.672653,-122.315552,0.4318837122092518,0.019459257180278793,0.8218390804597702,0,209.0,19349.346177371764,6159.088179449972,2841.0060694208155,2.167925033931941
12th_ave_ne_ne_70th_st,12th Ave NE & NE 70th St,47.67976,-122.315536,0.35763627444450197,0.019459257180278793,0.7638888888888888,0,209.0,15987.840920037683,5089.087823581746,2841.0060694208155,1.7912977653790223
