station_id,station_name,lat,lon,activity_score,connectivity_score,activity_rank_pct,is_transfer_proxy,connectivity,population_within_radius,population_density_within_radius,city_average_population_density,residential_density_ratio
dilshad_garden,dilshad garden,28.67588615,77.32143997586601,0.00960833647007548,0.0136986301369863,0.43661971830985913,0,23.0,73651.95549613678,23444.14557118892,7581.546434751025,3.0922643253531445
central_secretariat,central secretariat,28.6158794,77.2122822,0.0094234337751187,0.0136986301369863,0.4225352112676056,0,23.0,0.0,0.0,7581.546434751025,0.0
model_town,model town,28.7027136,77.1939912,0.00936840321114347,0.0273972602739726,0.4084507042253521,0,24.0,47950.89576187047,15263.244172371802,7581.546434751025,2.0132098779228857
kashmere_gate,kashmere gate,28.6517178,77.2219388,0.009194506628981736,0.0136986301369863,0.39436619718309857,0,23.0,211576.81237835748,67346.99106728421,7581.546434751025,8.883015048036945
jasola_vihar,jasola vihar,,,0.009080043055913254,0.0273972602739726,0.38028169014084506,0,24.0,,,,
mandi_house,mandi house,28.6255556,77.234195,0.009055829607764153,0.0136986301369863,0.36619718309859156,0,23.0,40006.779507751875,12734.55343169251,7581.546434751025,1.6796775619973772
rajiv_chowk,rajiv chowk,28.6327804,77.2196996,0.009022811269379013,0.0136986301369863,0.352112676056338,0,23.0,45222.68062989572,14394.826324228025,7581.546434751025,1.8986662481215473
noida_city_centre,noida city centre,,,0.008776274342769974,0.0273972602739726,0.3380281690140845,0,24.0,,,,
laxmi_nagar,laxmi nagar,28.63055515,77.2776331681994,0.008661810769701492,0.0136986301369863,0.323943661971831,0,23.0,140652.11663443505,44770.959237416275,7581.546434751025,5.905254241034868
hauz_khas,hauz khas,28.5442564,77.2067072,0.008655207102024465,0.0136986301369863,0.30985915492957744,0,23.0,38921.06210558062,12388.958848979615,7581.546434751025,1.634093908888189
rajouri_garden,rajouri garden,28.6421518,77.11606037769263,0.00845929829427264,0.0273972602739726,0.29577464788732394,0,24.0,79775.64992263567,25393.378047112088,7581.546434751025,3.349366552807507
chandni_chowk,chandni chowk,28.6605039,77.2297797,0.008283200489551897,0.0273972602739726,0.28169014084507044,0,24.0,59278.860316181315,18869.0472803485,7581.546434751025,2.4888124662614626
janakpuri_west,janakpuri west,28.6289502,77.0779235,0.008228169925576666,0.0136986301369863,0.2676056338028169,0,23.0,74103.39332082773,23587.84269378535,7581.546434751025,3.111217862581088
aiims,aiims,28.5668602,77.2078058,0.007761510743066699,0.0136986301369863,0.2535211267605634,0,23.0,18706.037356380864,5954.31662185933,7581.546434751025,0.7853696700407886
new_delhi,new delhi,28.6436415,77.2217373,0.00769767528885543,0.0136986301369863,0.23943661971830985,0,23.0,171409.98627072517,54561.493220599645,7581.546434751025,7.196617957849575
kalkaji_mandir,kalkaji mandir,28.5497752,77.2606671,0.007442333472010354,0.0273972602739726,0.22535211267605634,0,24.0,47629.569917380155,15160.962979384178,7581.546434751025,1.9997190691719424
inderlok,inderlok,28.6517178,77.2219388,0.007283845447761687,0.0136986301369863,0.2112676056338028,0,23.0,211576.81237835748,67346.99106728421,7581.546434751025,8.883015048036945
old_delhi,OLD DELHI,,,0.00239493014420209,0.0136986301369863,0.19718309859154928,0,23.0,,,,
netaji_subhash_place,NETAJI SUBHASH PLACE,28.69605175,77.15264042023938,0.002353106915580914,0.0136986301369863,0.18309859154929578,0,23.0,91142.88075286988,29011.679998908818,7581.546434751025,3.826617728796058
shivaji_park,SHIVAJI PARK,28.6750317,77.1304722,0.001945880742164198,0.0273972602739726,0.16901408450704225,0,24.0,54107.220242550546,17222.86311712756,7581.546434751025,2.271682072431065
punjabi_bagh,PUNJABI BAGH,28.668945,77.1324614,0.0018754416202759012,0.0136986301369863,0.15492957746478872,0,23.0,61491.27309855854,19573.280141298557,7581.546434751025,2.581700225640224
kirti_nagar,KIRTI NAGAR,28.6532807,77.1417729,0.0016509169192569554,0.0136986301369863,0.14084507042253522,0,23.0,50276.158331008875,16003.398236101675,7581.546434751025,2.1108356156400987
pragati_maidan,PRAGATI MAIDAN,,,0.0015826790199276678,0.0273972602739726,0.1267605633802817,0,24.0,,,,
shivaji_park,shivaji park,28.6750317,77.1304722,0.0013801665444988147,0.0,0.11267605633802817,0,22.0,54107.220242550546,17222.86311712756,7581.546434751025,2.271682072431065
kirti_nagar,kirti nagar,28.6532807,77.1417729,0.0013229347579645735,0.0136986301369863,0.09859154929577464,0,23.0,50276.158331008875,16003.398236101675,7581.546434751025,2.1108356156400987
netaji_subhash_place,netaji subhash place,28.69605175,77.15264042023938,0.0013075262000515086,0.0136986301369863,0.08450704225352113,0,23.0,91142.88075286988,29011.679998908818,7581.546434751025,3.826617728796058
old_delhi,old delhi,,,0.001118221059976711,0.0136986301369863,0.07042253521126761,0,23.0,,,,
barakhamba_road,BARAKHAMBA ROAD,,,0.0011116173922996833,0.0136986301369863,0.056338028169014086,0,23.0,,,,
barakhamba_road,barakhamba road,,,0.0005128848562491608,0.0136986301369863,0.04225352112676056,0,23.0,,,,
punjabi_bagh,punjabi bagh,28.668945,77.1324614,0.00038081150270860434,0.0136986301369863,0.028169014084507043,0,23.0,61491.27309855854,19573.280141298557,7581.546434751025,2.581700225640224
pragati_maidan,pragati maidan,,,0.0,0.0136986301369863,0.014084507042253521,0,23.0,,,,
