route_id,trip_id,service_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,drt_advance_book_min,bikes_allowed,fare_id,peak_offpeak,boarding_type
100026,800700320,21620,,Admiral District White Center,0,8048684,11128003,1,0.0,1,101,0,0
100026,800700330,21620,,Southcenter White Center,1,8048684,20128002,1,0.0,1,101,0,0
100026,800700340,21620,,Admiral District White Center,0,8048684,11128003,1,0.0,1,101,0,0
100026,800700350,21620,,Southcenter White Center,1,8048686,20128002,1,0.0,1,101,0,0
100026,800700360,21620,,Admiral District White Center,0,8048686,11128003,1,0.0,1,101,0,0
100026,800700370,21620,,Southcenter White Center,1,8048686,20128002,1,0.0,1,101,0,0
100026,800700380,21620,,Admiral District White Center,0,8048686,11128003,1,0.0,1,101,0,0
100026,800700390,21620,,Southcenter White Center,1,8048686,20128002,1,0.0,1,101,0,0
100026,800700400,21620,,Admiral District White Center,0,8048686,11128003,1,0.0,1,101,0,0
100026,800700410,21620,,Admiral District White Center,0,8048691,11128003,1,0.0,1,101,0,0
100026,800700420,21620,,Southcenter White Center,1,8048691,20128002,1,0.0,1,101,0,0
100026,800700430,21620,,Admiral District White Center,0,8048691,11128003,1,0.0,1,101,0,0
100026,800700440,21620,,Southcenter White Center,1,8048691,20128002,1,0.0,1,101,0,0
100026,800700450,21620,,Admiral District White Center,0,8048691,11128003,1,0.0,1,101,0,0
100026,800700460,21620,,Southcenter White Center,1,8048691,20128002,1,0.0,1,101,0,0
100026,800700470,21620,,Southcenter White Center,1,8048775,20128002,1,0.0,1,101,0,0
100026,800700480,21620,,Admiral District White Center,0,8048775,11128003,1,0.0,1,101,0,0
100026,800700490,21620,,Southcenter White Center,1,8048775,20128002,1,0.0,1,101,0,0
100026,800700500,21620,,Admiral District White Center,0,8048775,11128003,1,0.0,1,101,0,0
100026,800700510,21620,,Southcenter White Center,1,8048775,20128002,1,0.0,1,101,0,0
100026,800700520,21620,,Admiral District White Center,0,8048775,11128003,1,0.0,1,101,0,0
100026,800700530,21620,,Admiral District White Center,0,8048755,11128003,1,0.0,1,101,0,0
100026,800700540,21620,,Southcenter White Center,1,8048755,20128002,1,0.0,1,101,0,0
100026,800700550,21620,,Admiral District White Center,0,8048755,11128003,1,0.0,1,101,0,0
100026,800700560,21620,,Southcenter White Center,1,8048755,20128002,1,0.0,1,101,0,0
100026,800700570,21620,,Admiral District White Center,0,8048755,11128003,1,0.0,1,101,0,0
100026,800700580,21620,,Southcenter White Center,1,8048755,20128002,1,0.0,1,101,0,0
100026,800700590,21620,,Southcenter White Center,1,8048776,20128002,1,0.0,1,101,0,0
100026,800700600,21620,,Admiral District White Center,0,8048776,11128003,1,0.0,1,101,0,0
100026,800700610,21620,,Southcenter White Center,1,8048776,20128002,1,0.0,1,101,0,0
100026,800700620,21620,,Admiral District White Center,0,8048776,11128003,1,0.0,1,101,0,0
100026,800700630,21620,,Southcenter White Center,1,8048776,20128002,1,0.0,1,101,0,0
100026,800700640,21620,,Admiral District White Center,0,8048776,11128003,1,0.0,1,101,0,0
100026,800700650,21620,,Southcenter White Center,1,8048778,20128002,1,0.0,1,101,0,0
100026,800700660,21620,,Admiral District White Center,0,8048778,11128003,1,0.0,1,101,0,0
100026,800700670,21620,,Southcenter White Center,1,8048778,20128002,1,0.0,1,101,0,0
100026,800700680,21620,,Admiral District White Center,0,8048778,11128003,1,0.0,1,101,0,0
100026,800700690,21620,,Southcenter White Center,1,8048778,20128002,1,0.0,1,101,0,0
100026,800700700,21620,,Admiral District White Center,0,8048778,11128003,1,0.0,1,101,0,0
100026,800700710,21620,,Southcenter White Center,1,8048685,20128002,1,0.0,1,101,0,0
100026,800700720,21620,,Admiral District White Center,0,8048685,11128003,1,0.0,1,101,0,0
100026,800700730,21620,,Southcenter White Center,1,8048685,20128002,1,0.0,1,101,0,0
100026,800700740,21620,,Admiral District White Center,0,8048685,11128003,1,0.0,1,101,0,0
100026,800700750,21620,,Southcenter White Center,1,8048685,20128002,1,0.0,1,101,0,0
100026,800700760,21620,,Admiral District White Center,0,8048685,11128003,1,0.0,1,101,0,0
100026,800700770,21620,,Admiral District White Center,0,8048691,11128003,1,0.0,1,101,0,0
100026,800700780,21620,,Southcenter White Center,1,8048691,20128002,1,0.0,1,101,0,0
100026,800700790,21620,,Admiral District White Center,0,8048691,11128003,1,0.0,1,101,0,0
100026,800700800,21620,,Southcenter White Center,1,8048691,20128002,1,0.0,1,101,0,0
100026,800700810,21620,,Admiral District White Center,0,8048691,11128003,1,0.0,1,101,0,0
100026,800700820,21620,,Southcenter White Center,1,8048691,20128002,1,0.0,1,101,0,0
100026,800700830,21620,,Southcenter White Center,1,8048754,20128002,1,0.0,1,101,0,0
100026,800700840,21620,,Admiral District White Center,0,8048754,11128003,1,0.0,1,101,0,0
100026,800700850,21620,,Southcenter White Center,1,8048754,20128002,1,0.0,1,101,0,0
100026,800700860,21620,,Admiral District White Center,0,8048754,11128003,1,0.0,1,101,0,0
100026,800700870,21620,,Southcenter White Center,1,8048754,20128002,1,0.0,1,101,0,0
100026,800700880,21620,,Admiral District White Center,0,8048754,11128003,1,0.0,1,101,0,0
100026,800700890,21620,,Admiral District White Center,0,8048777,11128003,1,0.0,1,101,0,0
100026,800700900,21620,,Southcenter White Center,1,8048777,20128002,1,0.0,1,101,0,0
100026,800700910,21620,,Admiral District White Center,0,8048777,11128003,1,0.0,1,101,0,0
100026,800700920,21620,,Southcenter White Center,1,8048777,20128002,1,0.0,1,101,0,0
100026,800700930,21620,,Admiral District White Center,0,8048777,11128003,1,0.0,1,101,0,0
100026,800700940,21620,,Southcenter White Center,1,8048777,20128002,1,0.0,1,101,0,0
100026,800700950,21620,,Southcenter White Center,1,8048687,20128002,1,0.0,1,101,0,0
100026,800700960,21620,,Admiral District White Center,0,8048687,11128003,1,0.0,1,101,0,0
100026,800700970,21620,,Southcenter White Center,1,8048687,20128002,1,0.0,1,101,0,0
100026,800700980,21620,,Admiral District White Center,0,8048687,11128003,1,0.0,1,101,0,0
100026,800700990,21620,,Southcenter White Center,1,8048687,20128002,1,0.0,1,101,0,0
100026,800701000,21620,,Admiral District White Center,0,8048687,11128003,1,0.0,1,101,0,0
100005,800708890,21620,,Renton Rainier Beach Station,0,8048709,21106108,1,0.0,1,101,0,0
100005,800708900,21620,,Renton Rainier Beach Station,0,8048706,21106108,1,0.0,1,101,0,0
100005,800708930,21620,,Renton Rainier Beach Station,0,8048689,21106108,1,0.0,1,101,0,0
100005,800708950,21620,,Renton Rainier Beach Station,0,8048783,21106108,1,0.0,1,101,0,0
100005,800708970,21620,,Renton Rainier Beach Station,0,8048708,21106108,1,0.0,1,101,0,0
100005,800709000,21620,,Renton Rainier Beach Station,0,8048704,21106108,1,0.0,1,101,0,0
100005,800709020,21620,,Renton Rainier Beach Station,0,8048706,21106108,1,0.0,1,101,0,0
100005,800709030,21620,,Renton Rainier Beach Station,0,8048690,21106108,1,0.0,1,101,0,0
100005,800709050,21620,,Renton Rainier Beach Station,0,8048692,21106108,1,0.0,1,101,0,0
100005,800709070,21620,,Renton Rainier Beach Station,0,8048689,21106108,1,0.0,1,101,0,0
100005,800709080,21620,,Renton Rainier Beach Station,0,8048688,21106108,1,0.0,1,101,0,0
100005,800709100,21620,,Renton Rainier Beach Station,0,8048707,21106108,1,0.0,1,101,0,0
100005,800709130,21620,,Renton Rainier Beach Station,0,8048710,21106108,1,0.0,1,101,0,0
100005,800709150,21620,,Renton Rainier Beach Station,0,8048690,21106108,1,0.0,1,101,0,0
100005,800709190,21620,,Renton Rainier Beach Station,0,8048783,21106108,1,0.0,1,101,0,0
100005,800709210,21620,,Renton Rainier Beach Station,0,8048710,21106108,1,0.0,1,101,0,0
100005,800709220,21620,,Renton Rainier Beach Station,0,8048709,21106108,1,0.0,1,101,0,0
100005,800709230,21620,,Renton Rainier Beach Station,0,8048707,21106108,1,0.0,1,101,0,0
